,Meat,Seafood,Mexican,Italian,Pork,Korean,Asian,Fish,Starch,Ground_meat
Asian Beef Skewers,0.006250532479183401,0.006250417143220824,0.006250228306694024,0.006250498152326172,0.006256185649853639,0.45692207107238414,0.4112910478696684,0.08802818797088673,0.006250162936839026,0.00625066841894363
Asian Pork Tenderloin,0.0050008592258479045,0.005000474293355323,0.0050004021339077765,0.00500043345757765,0.005001804648233944,0.6172014143867381,0.3427916543482609,0.0050007169045900865,0.005000338402717236,0.005001902198771158
Asian Salmon,0.3680996561421491,0.004167353824400617,0.004166912948431056,0.004167190393918748,0.004167392541582752,0.5985601032538773,0.00416795671438434,0.004168173245642427,0.004167507990057834,0.004167752945555795
Authentic Mexican Chili Rellenos,0.005557328677010291,0.005556665493663414,0.39288212505480213,0.3500399990982571,0.005556082007115821,0.005556565773544385,0.005556920472106609,0.00555893464340023,0.218179258940942,0.005556119839157961
Awesome Grilled Cheese Sandwiches,0.02000238443532861,0.5032644213362817,0.02000014799543808,0.33671809088712246,0.020000118210247553,0.02000000001335412,0.02000001865164566,0.020000768772062742,0.020003192958936444,0.020010856739582805
Awesome Korean Steak,0.005555941474859895,0.005556130987414891,0.005555624620030673,0.005555865589411313,0.005555873877866455,0.9499964726447645,0.005556221691437627,0.005556161583099708,0.005555774159905931,0.005555933371208786
Awesome Red Wine Pot Roast,0.7934513142409583,0.0045466647346494695,0.004546259602900975,0.004546768599433094,0.004546744808345003,0.004545992011142512,0.004545949292485298,0.17017693485345473,0.00454640112631456,0.004546970730316003
Awesome Slow Cooker Pot Roast,0.9099863479465059,0.010002744560861396,0.010002475651790292,0.010003288606875264,0.010002185053519989,0.010000439440761866,0.010001086450964244,0.010000244140857279,0.010000530394623066,0.010000657753240617
Awesome Spicy Beef Kabobs Or Haitian Voodoo Sticks,0.4819507767708222,0.005556305109258874,0.005556415170787604,0.00555634110591936,0.005556548715394125,0.005556263318682832,0.47359687418471674,0.0055575634240892235,0.00555643049440859,0.005556481705920325
Baby Back Ribs,0.016667504817689277,0.016666826038337034,0.01666715718247148,0.016667571947811027,0.585874073548123,0.016670101707847173,0.2807847142018278,0.016666694550166495,0.016667484477546884,0.016667871528179504
Bacon Risotto,0.006668671675209896,0.9399847802793452,0.006668038771768836,0.006668206895207829,0.006667530706646454,0.006671670478924445,0.006667856280464364,0.006667743577258537,0.006667810525885544,0.0066676908092888005
Bacon Wrapped Buffalo Meatloaf,0.7268995357340837,0.0027783725406864924,0.002778657944247941,0.0027782191100380288,0.2508725264901587,0.0027787547796299956,0.0027784997175722714,0.002778272275491084,0.002778264467638361,0.0027788969404534437
Bacon Wrapped Cranberry Walnut Pork,0.47523351931996066,0.003334248775432337,0.003333759683783594,0.0033335693219642202,0.49809537360536266,0.003333913323367221,0.003333898901069868,0.0033339221504325722,0.0033338971502756185,0.0033338977683511828
Bacon Wrapped Pork Medallions,0.008335942611210952,0.6147840181108417,0.008335117864560449,0.008336047885826018,0.31853160432421396,0.00833424644596848,0.008336530330538928,0.008336745681394022,0.00833475799364239,0.00833498875180305
Baked Bbq Baby Back Ribs,0.004348845824213174,0.004348312422940466,0.004349659266076595,0.0043481811820277865,0.5284684801299867,0.004348525325239935,0.3493934516227663,0.09169789029971326,0.004348273486056818,0.0043483804409790265
Baked Cod With Boursin Herb Cheese,0.4578152141193982,0.27716098035036163,0.0058831048544537206,0.2238425508187086,0.0058830467673389765,0.00588271797820099,0.005882824870064699,0.00588346404629345,0.005883267001158397,0.0058828291940212964
Baked Corned Beef And Cabbage,0.9499926977175417,0.005556970582253508,0.005556296170545028,0.0055564063288348065,0.005556355941357114,0.005555844540279395,0.005556504707373961,0.005556387468035463,0.005555987169465645,0.005556549374313306
Baked Dijon Salmon,0.007693271086101395,0.6261410670995459,0.007692911005506939,0.007692854569003633,0.31231054485017506,0.007693984221514033,0.007693740123927844,0.007695083773955224,0.007693013396348234,0.007693529873921841
Baked Eggplant Parmesan,0.005000940602933728,0.005000875681741002,0.005000502956996591,0.773905550373113,0.005000639431300329,0.005000379154276941,0.005000398397041288,0.005000361145679842,0.1860896483595792,0.005000703897338067
Baked Flounder With Panko And Parmesan,0.009093222941402114,0.9181708685994842,0.009091503916764977,0.009092989642494923,0.009092776106905546,0.009091088232356133,0.009091289113630345,0.00909233592158163,0.009092002180455642,0.009091923344924585
Baked Haddock,0.011113167196990141,0.7323238937372102,0.011111283468305456,0.011114305683593813,0.17877422201940862,0.011111111302645266,0.011111279152255099,0.011114016397955553,0.011113162916301031,0.011113558125334764
Baked Halibut Steaks,0.00666796485986253,0.006667877439631291,0.006667145830335469,0.47539744918620874,0.00666753037193379,0.006667504853304545,0.006667413434504981,0.47126232045260713,0.006667643741899979,0.006667149829711542
Baked Macaroni And Cheese,0.011112814384429561,0.8999839203169129,0.011111700072660992,0.0111164467986136,0.01111215702267406,0.011111238641430423,0.01111163427616298,0.011112277354976616,0.011113157155076464,0.011114653977062445
Baked Orange Roughy Italian Style,0.00714403309532824,0.8091509802088767,0.007144303267687722,0.00714595301916174,0.007144531865030791,0.007143052676390745,0.0071446123843833965,0.13369336186739175,0.007144461679693994,0.007144709936054897
Baked Parmesan Tilapia,0.004349242826075919,0.6575014244256556,0.3077088411972373,0.004348959442959198,0.004348837178448433,0.004348072534327719,0.004348470198933678,0.004348955282979931,0.004348435338618442,0.004348761574763652
Baked Pasta With Sausage And Baby Portobello Mushroom White Sauce,0.004546085780024676,0.6233047216401162,0.004545715065664602,0.340327775693233,0.00454585556189092,0.004545731878081063,0.0045456927937006985,0.004546344401995639,0.00454628235491438,0.00454579483037869
Baked Philly Cheesesteak Sliders,0.0040011810382479945,0.004001078713209465,0.004000589999885781,0.4434345797364321,0.00400070228144552,0.004000337533597399,0.004000750654824265,0.40569199264169875,0.12286782799383501,0.00400095940682372
Baked Pork Chops I,0.4031219460343662,0.5547616188965853,0.005264264487594923,0.005264594314877844,0.005265521629796236,0.0052637590826995085,0.005264894219615612,0.005264408406750323,0.005264329771874095,0.005264663155840197
Baked Salmon Fillets Dijon,0.011113066181904283,0.5447465254500332,0.011111979335236154,0.011112786284371588,0.3663456720486998,0.0111142191460433,0.011112787364930462,0.01111622761071164,0.011112850375868415,0.011113886202201266
Baked Salmon Ii,0.007693441241321903,0.0076946133919903945,0.007692719029148213,0.007693842543870315,0.00769347965220917,0.007693601884830656,0.007693087178852511,0.9307595326288458,0.007693132242848496,0.007692550206082452
Baked Spaghetti ,0.005556716043439606,0.00555781578972104,0.005556014876878143,0.6340870443090532,0.005555993126099892,0.00555607878407111,0.005556064419437461,0.005556017765802337,0.32146153623595847,0.00555671864953875
Baked Ziti I,0.006250362600622519,0.006250539378522265,0.006250516288442118,0.9437460437520268,0.006250165889631741,0.006250581147787902,0.006250452787243405,0.00625010587256229,0.00625058976372834,0.006250642519432803
Baked Ziti Iii,0.005882674168927741,0.005882905392892662,0.005882807695149442,0.9470552085462013,0.005882499065476299,0.00588286482429611,0.005882760679469997,0.005882488630770629,0.005882872120541719,0.005882918876273929
Baked Ziti Iv,0.004001377273403568,0.004000633867593258,0.004000310874247549,0.8110873304698264,0.09034484805350235,0.0040004718971482275,0.00400057130981574,0.004000549874912313,0.07056346571028195,0.004000440669268738
Balsamic Baked Tilapia,0.2901778817330505,0.18829409600897887,0.11530156825547808,0.005265529391935965,0.005264942081671263,0.005265096879809574,0.005264228035403566,0.37463839083416084,0.005264616546788067,0.0052636502327234255
Balsamic Roasted Pork Loin,0.009093224492095067,0.009093257030931496,0.009091316777874713,0.009092417820178491,0.5780039839817676,0.009092439043398673,0.009092110634920894,0.34925743393724673,0.009091847911756448,0.009091968369829923
Barbarian Beef,0.9549889049734143,0.005000980475228852,0.005000975330624069,0.0050006427663114895,0.005001217758676984,0.005002410598669168,0.0050016972744437735,0.005001650136298905,0.005001109416846577,0.0050004112694856774
Barbecue Ribs,0.005883218516033337,0.005882902279135173,0.005882875159257911,0.005882930036154864,0.17007750844728384,0.005883694241102201,0.7828569776311345,0.0058830493766994195,0.005882756925844813,0.005884087387353968
Barbecued Beef,0.0050006643838197,0.00500064891161129,0.005000304191021572,0.005000354581500474,0.9549933266837067,0.005000877360070261,0.005000988319124723,0.0050009667938046565,0.005000399688770913,0.005001469086569764
Barbeque Halibut Steaks,0.007694310806352786,0.0076962549569788785,0.007692976070728211,0.007693093280039279,0.0076939004211047666,0.0076946130666820664,0.4434701886089847,0.49497744145434813,0.007693226295438369,0.007693995039342872
Barbeque Pork Two Ways,0.007144443630935863,0.007143810802410899,0.007143586790846216,0.007144186757665422,0.9357007441795004,0.007144563383888012,0.007145200828813393,0.007144161687047728,0.007143340226521335,0.007145961712370676
Barbequed Marinated Flank Steak,0.0076931811280216604,0.007692959659885308,0.0076930421273226236,0.0076928249922235716,0.00769367783624132,0.00769492101687402,0.7825721512005961,0.15588132069252578,0.007692980431058298,0.007692940915251399
Barbequed Pork Ribs,0.005884405186621043,0.005885809897768964,0.005882919069887864,0.005883092419264548,0.38197898926082996,0.005883592495036991,0.35070400555016523,0.22612971648450758,0.005883372546062986,0.00588409708985497
Barbequed Ribs,0.003448850595310952,0.0034488607259024204,0.0034493604773974135,0.0034485864118381677,0.4413122710009765,0.10124045409009039,0.4333047909709496,0.0034493129766435373,0.0034484861588391703,0.003449026592051886
Barbequed Steelhead Trout,0.009093058697274354,0.0090948573820727,0.00909174992139103,0.009091719829193896,0.17477813462065306,0.009092965098861526,0.009093044846152741,0.44480414029531146,0.3167681747214412,0.009092154587648145
Basic Microwave Risotto,0.007696094452795161,0.686627099388733,0.007698309969717257,0.007694919273776897,0.007692988942849579,0.2518158371356175,0.007694489009267678,0.007693274280178147,0.0076939023801314045,0.007693085166933462
Basil Shrimp,0.005263752905438743,0.7001422264501315,0.0052633733706573095,0.005263682298149938,0.2577469804556819,0.0052636930153987065,0.005264482379149758,0.005264374551394323,0.005263717620263927,0.005263716953734018
Bats And Cobwebs,0.007143300051064416,0.007143358506631821,0.007143253385774778,0.9357097949248018,0.007143076827151252,0.007143627015989087,0.007143456819042278,0.007143001359578088,0.00714343917204235,0.007143691937924215
Bbq Broiled Red Snapper,0.008334796709839507,0.008335480224116737,0.008334066614815068,0.00833464103768711,0.2214389259118912,0.008336566834258732,0.008335908152731098,0.7118794119103722,0.008334765750771304,0.008335436853516988
Bbq Glazed Homemade Meatballs,0.004762892848039316,0.004762725059148534,0.004763180115723168,0.004762671254001411,0.004763385950785222,0.004762806141244879,0.00476302553062956,0.004763034763603006,0.004762294514835001,0.9571339838219898
Bbq Ny Strip,0.005001353024755869,0.6020604077731748,0.005000152027613841,0.005000836469916912,0.00500183740744266,0.11891820078665712,0.00500145148034428,0.2440126985299421,0.005000625741173201,0.005002436758979183
Bbq Pork For Sandwiches,0.014290123925770852,0.014286025958384413,0.33000499055784016,0.014288898880815578,0.5556842988231985,0.014290273753183421,0.014289915489913154,0.014285752510619873,0.014287699620691353,0.014292020479582638
Bbq Steak,0.5097525837151979,0.0058834592703376236,0.005882746415789752,0.005883279371105824,0.2558299248085335,0.1932329065597206,0.0058839637045998774,0.005884592131717196,0.005883348391578279,0.0058831956314194245
Beans And Belly,0.48081826845705383,0.0021742960107957346,0.05786697175098565,0.0021742281631449215,0.15434073821511604,0.002174688365920993,0.0021742922786874867,0.29392817197264864,0.002174219624241068,0.0021741251614056313
Beef And Bean Chimichangas,0.0041679436472329325,0.004168207069993763,0.4188117176070318,0.4088439479507134,0.0041672297437988955,0.004167456606661209,0.004167334499001399,0.004167525851705452,0.0041672157181791,0.14317142130568206
Beef And Noodles,0.8560357713529632,0.006251307934095969,0.00625058541738513,0.09395546928607244,0.006250612905508374,0.006250476614209305,0.006251855771756008,0.0062513287566760035,0.006250599160013094,0.0062519928013204515
Beef And Rice Stuffed Bell Peppers,0.5268723651361286,0.156784450320201,0.00357204711970949,0.003572808030203709,0.003571937953823569,0.0035727534982692693,0.003572192118600373,0.0035724179843711875,0.29133695571453094,0.0035720721241619176
Beef Bourguignon I,0.9689594531160598,0.0034495197639181634,0.003448841729668386,0.003449003099763209,0.0034487857864023124,0.0034493364442059644,0.003448594472175649,0.0034490457700831123,0.0034487379379454022,0.003448681879778117
Beef Bulgogi,0.006251229096386476,0.006250835751071695,0.00625061416378488,0.006250741551451832,0.00625108831798795,0.732876370842844,0.006251290237395851,0.2171165498833749,0.006250561759078377,0.0062507183966241725
Beef Medallions With Caramelized Pan Sauce,0.8875023097989366,0.004001249326803189,0.004000784761302256,0.004000964339864971,0.00400051676633541,0.004000770840089813,0.08049107300807579,0.004001134047793122,0.004000841523963203,0.004000355586835622
Beef Medallions With Fresh Horseradish Sauce ,0.8348140912960134,0.0034490758434240413,0.003448677270761541,0.0034486042749396935,0.003449528090834226,0.0034495773228054717,0.13759238337199894,0.003449168959701538,0.0034490511583724973,0.0034498424111486727
Beef Pot Roast,0.909979853698061,0.010002396266796554,0.010002174311797785,0.010001958495437812,0.01000355497853746,0.010001627517381487,0.01000144880015629,0.010004160469991426,0.010001970721768068,0.010000854740071884
Beef Short Ribs Sauerbraten,0.7351914377148198,0.0026320282651592112,0.002631986701128438,0.0026318017850915035,0.24375233504979613,0.002632261215932906,0.0026322253272743185,0.0026320500454523658,0.0026319703761520847,0.0026319035191933603
Beef Stroganoff Iii,0.8064207746110873,0.004349329980837675,0.15878590833850287,0.004349019659096031,0.0043505332537884045,0.004348950892852461,0.004348672457292881,0.004348810139725382,0.004348419221086688,0.004349581445730097
Beef Tenderloin With Roasted Shallots,0.9608624494185225,0.004349292156745118,0.004348588194226302,0.004348363917391857,0.004348559928941652,0.004348771569592876,0.004348276720004741,0.0043486614506917836,0.004348825010360978,0.004348211633522039
Beef Wellington,0.45510698654162285,0.5085242142482167,0.004546194391621868,0.004546192186596803,0.004545932432120759,0.004545753708137308,0.004546381719071067,0.004545985162393854,0.004545933877061945,0.004546425733156881
Beef Yakitori,0.005882970256970479,0.005883283194615011,0.00588275144211517,0.005882749440641823,0.005882714707930508,0.4734253522417467,0.47951007265156914,0.005884459606792817,0.005882692086160634,0.005882954371457776
Beefy Baked Ravioli,0.0066669656009472715,0.08368759100972457,0.0066669684005782395,0.8629759237612905,0.006666833745422137,0.0066672508621321205,0.006667116643069663,0.006666732348624736,0.006667300136977198,0.006667317491233465
Beer And Brown Sugar Steak Marinade,0.006669198958502487,0.006668161410284271,0.006668063817290307,0.006668018789931771,0.006669127159960678,0.13703923973990226,0.6099121036081293,0.0066690329949271095,0.00666759861904581,0.20636945490202604
Beer Braised Lamb Shanks,0.9526244084694652,0.005263936858318771,0.0052637562934716,0.005264072821030655,0.005263798245826228,0.005264209172384331,0.005263939224352679,0.00526460633396492,0.005263867517445957,0.0052634050637397406
Beer Brats,0.9249821818755016,0.008335171594743203,0.008335020592856558,0.008334627940324555,0.008335869319862728,0.008334370628991289,0.00833598212808435,0.008336602496227771,0.008335382037714658,0.008334791385693268
Beerbecue Beef Flank Steak,0.5595541221610523,0.004348420636011275,0.004348596998597818,0.004348145433753236,0.004348809378379833,0.0043486288050616495,0.2737004743371889,0.13630566296008825,0.004348318765255501,0.0043488205246113255
Berdeans Cube Steak,0.42758902406136445,0.010002117975520882,0.010003600218125599,0.010001305212740562,0.010001452198250634,0.010001841841819658,0.49239350703756984,0.010002822618626487,0.010002861264257453,0.01000146757172433
Best Beef Dip Ever,0.6358972270740608,0.01111171614651219,0.011114418968625995,0.011112777225126047,0.011116333021054142,0.27519547358046614,0.01111440748523121,0.011111960068500218,0.011112457074166533,0.011113229356256674
Best Beef Enchiladas,0.003704600705205855,0.0037045896972196994,0.20907013415413345,0.7612947914731905,0.003704429458521992,0.0037041634196548516,0.00370423608715004,0.0037044915848169486,0.0037042748998230564,0.003704288520283738
Best Ever Crab Cakes,0.006251414756047145,0.9437383368214992,0.006250887103095746,0.006251114513985703,0.0062503816099218935,0.006252291801886905,0.006251069668723574,0.00625254983427096,0.006250715701794099,0.00625123818877478
Best Ever Meat Loaf,0.30185146992656603,0.005883664745566296,0.005883079793823425,0.005884779776555312,0.00588365732557594,0.005882803682033139,0.005883209760322692,0.0058835467062873905,0.005883566910344358,0.6510802213729254
Best Ever Sausage With Peppers Onions And Beer,0.004167704743816115,0.004167426270282018,0.004167240131740604,0.19808085877318415,0.00416715366846291,0.20568958572392934,0.004167871097443785,0.567057503215912,0.004167521091290913,0.0041671352839382
Best Ever Slow Cooker Italian Beef Roast,0.3418916641206449,0.006250999003042289,0.6081010374169846,0.006251158545410833,0.006250914797326132,0.006250331256811611,0.006250521406298327,0.006251655872274598,0.0062508098949205755,0.0062509076862860965
Best Stovetop Bbq Ribs,0.006667620954923838,0.006667054824177367,0.006667030793193045,0.0066674162818555075,0.294211239713355,0.006668780552814973,0.6524475884086949,0.006667632507022919,0.006667162085428401,0.006668473878534135
Best Turkey Meatloaf,0.33813919249563795,0.2545553401616745,0.005263582088256585,0.005264045748351817,0.005264302985666904,0.005264173780311078,0.0052645515030386855,0.005263920245193277,0.005264966758559162,0.3704559242333099
Beths Meat Loaf,0.006668600115286661,0.006667855497049691,0.006667568576669579,0.006667717612135705,0.31628820685627895,0.0066672003305847495,0.00666788992640921,0.006667885880515654,0.006667480889750748,0.630369594315319
Big Smokey Burgers,0.0037043631056190795,0.003704451489493454,0.2685882238741513,0.003704779426460471,0.0037045251424460803,0.0037045212796816963,0.0037045870839539493,0.003704340278958021,0.0037042638131646244,0.7017759445060713
Black And Blue Steak Burger,0.5934959381322039,0.005557302187700144,0.005556015702197623,0.005558540862752235,0.005557222640615459,0.0055570833256504745,0.00555654971791725,0.005557473031241468,0.005557072310185659,0.3620468020895358
Black Beans And Pork Chops,0.008335498366369983,0.008334482496052205,0.26692216839647676,0.008334403574257885,0.344151747620392,0.008334183312712877,0.00833436376098163,0.3305842099412886,0.008334442817038146,0.008334499714429733
Black Eyed Peas With Pork And Greens,0.9327716522625691,0.0032262341774114897,0.003226786937641333,0.00322617295579625,0.003227680207689371,0.0032266625251228514,0.003226541143047857,0.0032263937588532586,0.003226192564192657,0.04141568346767583
Blackened Salmon Fillets,0.005265067855396019,0.005265519978682042,0.0052637858588274545,0.005263908388764276,0.005264464396968073,0.0052636688577412565,0.005263800755234178,0.9526216524810711,0.005264490272902129,0.005263641154413312
Blackened Shrimp Stroganoff,0.004000870327620891,0.5480193109540589,0.41997462022213017,0.004001616278841262,0.004000224791972469,0.004000187015487163,0.00400058287404151,0.004001660075645297,0.004000583556102744,0.0040003439040995886
Blackened Tuna,0.012502536829328444,0.21529309141221495,0.012501137109242288,0.21349275095388348,0.012500744446676785,0.012501382918045943,0.012500893035472766,0.483704549381028,0.012501464342245394,0.012501449571862
Blackened Tuna Steaks With Mango Salsa,0.002564507956878426,0.0025644325357388744,0.0025644699637833806,0.0025644507195640995,0.0025645052919191285,0.0025643643085047846,0.03924270148475582,0.940241970257345,0.0025642838380600134,0.0025643136434506503
Blat Wraps,0.010002465958345879,0.010001665230901693,0.9099834586401193,0.010005317464138002,0.010000018529183313,0.01000000001971342,0.010000436531248161,0.010001794587831797,0.010001281102691262,0.010003561935827129
Blue Cheese Beef Tenderloin,0.006668493959831073,0.30077700242035116,0.0066679386734226145,0.21330322382286393,0.006668376930687573,0.006668575562278321,0.14320100204219888,0.006668558763593251,0.006667863982641603,0.30270896384213153
Blue Cheese Burgers,0.34172170184534134,0.005557728413461815,0.00555621049408816,0.005557522220263439,0.005556930827815905,0.005556822518252534,0.005556622153957002,0.005556424581070464,0.005556805713551013,0.6138232312321984
Blue Cheese Spinach Meat Loaf Muffins,0.009092801658902796,0.16338853423797092,0.009091638871697475,0.41359460664051617,0.009091637971113916,0.009092314981106025,0.009092142092750046,0.00909128014012848,0.009092354785009799,0.3593726886208043
Bobs Awesome Lasagna,0.006251058872571355,0.0062508599467417485,0.006250537246761124,0.7590220167572727,0.006250875385475204,0.006250805020841418,0.006250823399458656,0.006250702686342897,0.19097127711902392,0.00625104356551099
Bobs Pulled Pork On A Smoker,0.003704606067144147,0.00370410575872264,0.0037042472681164747,0.003704165809761751,0.637003009846726,0.0037044867360070985,0.0037047785509412958,0.33336162323610163,0.003704526475131946,0.003704450251347119
Bobs Stuffed Banana Peppers,0.3653870791896064,0.0037047730618309546,0.0037040759050405614,0.6049755801188166,0.0037046855129382783,0.0037050929124886082,0.0037044465361538823,0.0037042747015800827,0.0037043059523857937,0.0037056861091587898
Boiled Baked Ribs,0.0025645874305796775,0.0025643155167510904,0.0025644029226335433,0.0025642734949039613,0.7344910881221046,0.24499328089220215,0.002564627589595072,0.002564482968430738,0.002564456679373852,0.002564484383425381
Bolognese Stuffed Bell Peppers,0.34907053537302307,0.2497139260063874,0.003704245494076259,0.0037049124762134184,0.003704159985419722,0.07667116946597018,0.0037045230872619914,0.003705090745499887,0.30231724553551637,0.0037041918306318236
Borscht Braised Beef Short Ribs,0.6693304436601606,0.0045462445873648,0.29430078368884877,0.004546258909841834,0.004546396206466881,0.0045462241444167596,0.00454594914243116,0.00454605566632497,0.004545882785714457,0.004545761208429707
Bourbon Mango Pulled Pork,0.004348302661690583,0.004347985648758492,0.0043498273233252855,0.00434804095849676,0.9608633783896685,0.004348593099082882,0.004349569554821413,0.004348085800511673,0.004348138330201179,0.00434807823344332
Bow Ties With Sausage Tomatoes And Cream,0.004546380055732089,0.40868552212720544,0.004545757381542958,0.5549443727681156,0.004545921931926754,0.00454587732251464,0.004545821478433771,0.004546936406279212,0.004547633757148461,0.0045457767711010195
Braised Corned Beef Brisket,0.00666798944350712,0.00667132310739461,0.006667245722266763,0.006667459503109203,0.006667096912747992,0.006667806161192565,0.9399871584476217,0.006667387069960642,0.006668879524412628,0.006667654107786807
Braised Lamb With Radishes And Mint,0.7739655733430864,0.0038469737074845354,0.003846670238099804,0.003846350999824358,0.003848008694835038,0.0038473796553060518,0.0038478039439540554,0.0038474034962292032,0.1952567724141656,0.0038470635070149443
Brandied Shrimp With Pasta,0.005000970093806141,0.7633745225079682,0.005000514571817928,0.19661876152385327,0.005000387491913335,0.005001590988967885,0.005000742350020016,0.005001442850500802,0.005000632134978285,0.005000435486173964
Bread Machine Calzone,0.005556430512226085,0.00555708420711317,0.005555915318619938,0.005556800106271152,0.005556186843635341,0.00555631297908505,0.005556479695137411,0.005555972107957163,0.9499919414304091,0.00555687679954558
Briam Greek Baked Zucchini And Potatoes,0.007146179502339464,0.007144492779743876,0.0071434537210193294,0.1653474951788602,0.007143783325220323,0.007143604122134312,0.007143383323293017,0.7774997357331955,0.00714462875438738,0.0071432435598065645
Brisket With Bbq Sauce,0.23121818021735724,0.003846892064722845,0.0038466018083490833,0.003846621089924988,0.003847385327147788,0.003846558145052533,0.0038471043591325814,0.003846772449620224,0.003846600580259437,0.7380072839584333
Broiled Grouper Parmesan,0.36922204497806543,0.5774277273859684,0.006667331223146447,0.006668707271503228,0.0066680515350505225,0.00667155143923222,0.006668863250856917,0.006668835104747258,0.006667872047401246,0.00666901576402844
Broiled Lobster Tails,0.010001563607737985,0.9099899503581519,0.010000576622208521,0.010000407951199884,0.010001315273256574,0.01000096460928065,0.010001033783628682,0.010002914375369957,0.010000951579349712,0.01000032183981624
